article_id	variable	dependent_expert	independent_expert	central_expert	control_expert	dontknow_expert
1212	OTHER	0	0	0	1	0
1212	SEX	0	0	0	1	0
358	ANOMIA5	1	0	0	0	0
358	ANOMIA6	1	0	0	0	0
358	ANOMIA7	1	0	0	0	0
358	ANOMIA8	1	0	0	0	0
358	ANOMIA9	1	0	0	0	0
358	RACE	0	1	0	0	0
358	EDUC	0	1	0	0	0
358	PRESTIGE	0	1	0	0	0
358	AGE	0	1	0	0	0
358	SIZE	0	1	0	0	0
1569	ABRAPE	1	0	0	0	0
1569	ABHLTH	1	0	0	0	0
1569	ABDEFECT	1	0	0	0	0
1569	ABPOOR	1	0	0	0	0
1569	ABSINGLE	1	0	0	0	0
1569	ABNOMORE	1	0	0	0	0
1569	RELIG	0	1	0	0	0
1569	DENOM	0	1	0	0	0
1569	CHLDIDEL	0	1	0	0	0
1569	EDUC	0	1	0	0	0
1569	AGE	0	1	0	0	0
1569	ATTEND	0	1	0	0	0
1569	SEX	0	1	0	0	0
1569	RACE	0	1	0	0	0
1569	SRCBELT	0	1	0	0	0
4836	ANOMIA1	1	0	0	0	0
4836	ANOMIA2	1	0	0	0	0
4836	ANOMIA3	1	0	0	0	0
4836	ANOMIA4	1	0	0	0	0
4836	ANOMIA5	1	0	0	0	0
4836	ANOMIA6	1	0	0	0	0
4836	ANOMIA7	1	0	0	0	0
4836	ANOMIA8	1	0	0	0	0
4836	ANOMIA9	1	0	0	0	0
4836	POSTLIFE	0	1	0	0	0
4836	ATTEND	0	1	0	0	0
4836	EDUC	0	1	0	0	0
4836	SIZE	0	1	0	0	0
4836	DOTPRES	0	1	0	0	0
4836	AGE	0	1	0	0	0
4836	SEX	0	1	0	0	0
7290	COUNTRY	1	0	0	0	0
7290	DIVORCE	1	0	0	0	0
7290	OWNGUN	1	0	0	0	0
7291	PARTNERS	1	0	0	0	0
7291	SEXFREQ	1	0	0	0	0
7291	SEX	0	1	0	0	0
7291	AGE	0	1	0	0	0
7291	ATTEND	0	1	0	0	0
7291	MARITAL	0	1	0	0	0
7291	REGION	0	1	0	0	0
7291	EDUC	0	1	0	0	0
7291	POLVIEWS	0	1	0	0	0
7291	SRCBELT	0	1	0	0	0
7291	BABIES	0	1	0	0	0
7291	PRETEEN	0	1	0	0	0
7291	TEENS	0	1	0	0	0
7295	AGE	0	1	0	0	0
7295	SEX	0	1	0	0	0
7295	RACE	0	1	0	0	0
7295	MARITAL	0	1	0	0	0
7295	EDUC	0	1	0	0	0
7295	REGION	0	1	0	0	0
7295	INCOME	0	1	0	0	0
7295	RELIG	0	1	0	0	0
7295	FUND	0	1	0	0	0
7295	DENOM	0	1	0	0	0
7295	OTHER	0	1	0	0	0
7295	SUICIDE1	1	0	0	0	0
7295	SUICIDE2	1	0	0	0	0
7295	SUICIDE3	1	0	0	0	0
7295	SUICIDE4	1	0	0	0	0
7295	SPATTEND	0	1	0	0	0
3773	RACE	0	0	1	0	0
3773	INCOME	0	0	1	0	0
2112	AMCHRSTN	1	0	0	0	0
2112	AMBORNIN	1	0	0	0	0
2112	AMLIVED	1	0	0	0	0
2112	EDUC	0	1	0	0	0
2112	BORN	0	1	0	0	0
2112	AGE	0	1	0	0	0
2112	SEX	0	1	0	0	0
